"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5"
"Ambrosia artemisiifolia","2021-09-14","FBF","1","A",88,2,67,NA,NA,69,85,42,50,93
"Ambrosia artemisiifolia","2021-09-14","FBF","1","B",46,2,70,NA,NA,69,85,42,50,93
"Ambrosia artemisiifolia","2021-09-14","FBF","1","C",36,2,49,NA,NA,69,85,42,50,93
"Ambrosia artemisiifolia","2021-09-14","FBF","2","A",10,2,56,NA,NA,80,130,73,134,107
"Ambrosia artemisiifolia","2021-09-14","FBF","2","B",12,2,28,NA,NA,80,130,73,134,107
"Ambrosia artemisiifolia","2021-09-14","FBF","2","C",70,2,63,NA,NA,80,130,73,134,107
"Ambrosia artemisiifolia","2021-09-14","FBF","3","A",66,2,73,NA,NA,105,130,156,177,216
"Ambrosia artemisiifolia","2021-09-14","FBF","3","B",25,2,42,NA,NA,105,130,156,177,216
"Ambrosia artemisiifolia","2021-09-14","FBF","4","A",31,2,77,NA,NA,91,67,85,88,130
"Ambrosia artemisiifolia","2021-09-14","FBF","4","B",26,2,85,NA,NA,91,67,85,88,130
"Ambrosia artemisiifolia","2021-09-14","FBF","4","C",48,2,36,NA,NA,91,67,85,88,130
"Ambrosia artemisiifolia","2021-09-14","FBF","5","A",71,2,51,NA,NA,86,83,93,87,104
"Ambrosia artemisiifolia","2021-09-14","FBF","5","B",125,2,40,NA,NA,86,83,93,87,104
"Ambrosia artemisiifolia","2021-09-14","FBF","5","C",91,2,37,NA,NA,86,83,93,87,104
"Ambrosia artemisiifolia","2021-09-14","FBF","6","A",428,2,67,NA,NA,79,143,183,170,194
"Ambrosia artemisiifolia","2021-09-14","FBF","6","B",86,2,47,NA,NA,79,143,183,170,194
"Ambrosia artemisiifolia","2021-09-14","FBF","6","C",57,2,51,NA,NA,79,143,183,170,194
"Ambrosia artemisiifolia","2021-09-14","FBF","7","A",19,2,23,NA,NA,11,20,17,22,28
"Ambrosia artemisiifolia","2021-09-14","FBF","7","B",16,2,31,NA,NA,11,20,17,22,28
"Ambrosia artemisiifolia","2021-09-14","FBF","7","C",120,2,21,NA,NA,11,20,17,22,28
"Ambrosia artemisiifolia","2021-09-14","FBF","8","A",2,2,28,NA,NA,22,26,19,22,19
"Ambrosia artemisiifolia","2021-09-14","FBF","8","B",75,2,17,NA,NA,22,26,19,22,19
"Ambrosia artemisiifolia","2021-09-14","FBF","8","C",19,2,24,NA,NA,22,26,19,22,19
"Ambrosia artemisiifolia","2021-09-14","FBF","9","A",86,2,24,NA,NA,8,21,22,27,29
"Ambrosia artemisiifolia","2021-09-14","FBF","9","B",41,2,25,NA,NA,8,21,22,27,29
"Ambrosia artemisiifolia","2021-09-14","FBF","9","C",84,2,17,NA,NA,8,21,22,27,29
"Ambrosia artemisiifolia","2021-09-14","FBF","10","A",460,2,15,NA,NA,11,22,29,39,48
"Ambrosia artemisiifolia","2021-09-14","FBF","10","B",276,2,18,NA,NA,11,22,29,39,48
"Ambrosia artemisiifolia","2021-09-14","FBF","10","C",66,2,20,NA,NA,11,22,29,39,48
"Ambrosia artemisiifolia","2021-09-14","FBF","11","A",76,2,38,NA,NA,14,36,38,57,91
"Ambrosia artemisiifolia","2021-09-14","FBF","11","B",31,2,31,NA,NA,14,36,38,57,91
"Ambrosia artemisiifolia","2021-09-14","FBF","11","C",14,2,41,NA,NA,14,36,38,57,91
"Ambrosia artemisiifolia","2021-09-14","FBF","12","A",20,2,20,NA,NA,26,42,43,40,33
"Ambrosia artemisiifolia","2021-09-14","FBF","12","B",107,2,19,NA,NA,26,42,43,40,33
"Ambrosia artemisiifolia","2021-09-14","FBF","12","C",8,2,14,NA,NA,26,42,43,40,33
"Ambrosia artemisiifolia","2021-09-14","FBF","13","A",172,2,50,NA,NA,16,37,70,79,110
"Ambrosia artemisiifolia","2021-09-14","FBF","13","B",24,2,55,NA,NA,16,37,70,79,110
